id,major_min_score_2024,college_name_excel,major_name_excel,source_province
8064481,692.0,清华大学,社会科学试验班,湖北
8064482,692.0,清华大学,理科试验班类,湖北
8064483,692.0,清华大学,理科试验班类,湖北
8064484,692.0,清华大学,法学类,湖北
8064485,692.0,清华大学,建筑类,湖北
8064447,685.0,北京大学,工科试验班类,湖北
8064448,684.0,北京大学,理科试验班类,湖北
8064449,682.0,北京大学,理科试验班类,湖北
8064450,682.0,北京大学,理科试验班类,湖北
8064451,686.0,北京大学,理科试验班类,湖北
8064452,686.0,北京大学,文物保护技术,湖北
8064453,686.0,北京大学,数学类,湖北
8064454,686.0,北京大学,物理学类,湖北
8064455,691.0,北京大学,化学类,湖北
8064456,679.0,北京大学,天文学,湖北
8064457,681.0,北京大学,地球物理学类,湖北
8064458,687.0,北京大学,地质学类,湖北
8064459,681.0,北京大学,生物科学类,湖北
8064460,680.0,北京大学,电子信息类,湖北
8064461,691.0,北京大学,计算机类,湖北
8064462,679.0,北京大学,环境科学与工程类,湖北
8064463,679.0,北京大学,环境科学,湖北
8064464,679.0,北京大学,信息管理与信息系统,湖北
8064486,673.0,清华大学,工科试验班,湖北
8064487,673.0,清华大学,工科试验班,湖北
8064488,673.0,清华大学,工科试验班,湖北
8064489,613.0,清华大学,工科试验班,湖北
8064490,613.0,清华大学,工科试验班,湖北
8064491,613.0,清华大学,理科试验班,湖北
8064492,612.0,清华大学,理科试验班,湖北
8064493,672.0,清华大学,电子信息类,湖北
8064494,672.0,清华大学,自动化类,湖北
8064495,675.0,清华大学,计算机类,湖北
8064496,675.0,清华大学,土木类,湖北
8064497,673.0,清华大学,临床医学类,湖北
8064498,672.0,清华大学,临床医学类,湖北
8065088,655.0,上海交通大学,电子信息类,湖北
8065089,655.0,上海交通大学,人工智能,湖北
8065066,648.0,复旦大学,工科试验班,湖北
8065065,647.0,复旦大学,理科试验班,湖北
8058605,649.0,清华大学,理科试验班,湖北
8058606,645.0,清华大学,电子信息类,湖北
8065067,652.0,复旦大学,工科试验班,湖北
8065068,640.0,复旦大学,计算机科学与技术,湖北
8064499,640.0,清华大学,机械工程,湖北
8064500,626.0,清华大学,核工程与核技术,湖北
8064465,648.0,中国人民大学,金融学,湖北
8066695,630.0,上海交通大学医学院,临床医学,湖北
8066696,630.0,上海交通大学医学院,临床医学,湖北
8065069,633.0,复旦大学,工科试验班,湖北
8065070,630.0,复旦大学,工科试验班,湖北
8065071,634.0,复旦大学,工科试验班,湖北
8065072,629.0,复旦大学,工科试验班,湖北
8065073,630.0,复旦大学,软件工程,湖北
