2024年计划数据,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,2024年录取数据,Unnamed: 15,Unnamed: 16,Unnamed: 17,2023年录取数据,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2022年录取数据,Unnamed: 24,Unnamed: 25,2021年录取数据,Unnamed: 27,Unnamed: 28,院校基础信息,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分,专业组最低位次,计划数,最低分,最低位次,计划数,最低分,最低位次,计划数,最低分,最低位次,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类,检查是否为空
7956360,黑龙江,本科批,物理,化,1001015,北京大学,30,工科试验班类,包含理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程,四年,5000,1,,,,705,45,675,61,1,675,61,1,665,53,1,680,60,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956361,黑龙江,本科批,物理,化,1001015,北京大学,31,理科试验班类,(元培)包含数学类,四年,5300,1,,,,705,45,675,61,1,688,33,1,682,17,1,688,34,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956362,黑龙江,本科批,物理,化,1001015,北京大学,32,理科试验班类,(光华)包含数学类,四年,5000,1,,,,705,45,675,61,1,688,33,1,682,17,1,688,34,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956363,黑龙江,本科批,物理,化,1001015,北京大学,33,理科试验班类,(经济)包含数学类,四年,5000,1,,,,705,45,675,61,1,688,33,1,682,17,1,688,34,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956364,黑龙江,本科批,物理,化,1001015,北京大学,34,理科试验班类,(法学院)包含数学类,四年,5000,1,,,,705,45,675,61,1,688,33,1,682,17,1,688,34,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956365,黑龙江,本科批,物理,化,1001015,北京大学,35,文物保护技术,(古建),四年,5000,1,新增,,,705,45,675,61,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,1,,,,,
7956366,黑龙江,本科批,物理,化,1001015,北京大学,36,数学类,包含数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融),四年,5000,1,,,,705,45,675,61,1,684,33,1,668,41,1,704,10,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956367,黑龙江,本科批,物理,化,1001015,北京大学,37,物理学类,包含物理学、大气科学(大气与海洋),四年,5000,1,,,,705,45,675,61,1,678,35,1,664,54,1,684,46,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956368,黑龙江,本科批,物理,化,1001015,北京大学,38,化学类,包含化学、应用化学、应用化学(材料方向)、化学生物学,四年,5000,1,,,,705,45,675,61,1,675,61,1,662,59,1,689,29,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956369,黑龙江,本科批,物理,化,1001015,北京大学,39,地球物理学类,包含地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术,四年,5000,1,,,,705,45,675,61,1,675,61,1,665,53,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1,,,,,,,
7956370,黑龙江,本科批,物理,化,1001015,北京大学,40,生物科学类,包含生物科学、生物技术,四年,5300,1,,,,705,45,675,61,1,675,61,1,662,59,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956371,黑龙江,本科批,物理,化,1001015,北京大学,41,电子信息类,包含电子信息科学与技术、微电子科学与工程,四年,5300,1,,,,705,45,675,61,1,675,61,1,668,41,1,681,58,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956372,黑龙江,本科批,物理,化,1001015,北京大学,42,计算机类,包含计算机科学与技术、智能科学与技术,四年,5300,1,,,,705,45,675,61,1,680,33,1,669,38,1,681,58,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956373,黑龙江,本科批,物理,化,1001015,北京大学,43,环境科学与工程类,包含环境科学、环境工程、环境科学(环境管理),四年,5000,1,,,,705,45,675,61,1,675,61,1,662,59,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956374,黑龙江,本科批,物理,化,1001015,北京大学,44,环境科学,(环境、健康、生态、地理与资源环境),四年,5000,1,,,,705,45,675,61,1,681,33,1,663,56,1,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1,,,,,,
7956375,黑龙江,本科批,物理,化,1001015,北京大学,45,信息管理与信息系统,,四年,5000,1,新增,,,705,45,675,61,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1,,,,
